TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
4232,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3997 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,Private,4/5/95 0:00,12,3x3,37.74750912,-122.4290407
63576,DPW Maintained,Pittosporum undulatum :: Victorian Box,1338 Filbert St,1,Sidewalk: Curb side : Cutout,Private,4/30/87 0:00,15,,37.79990705,-122.4213765
27773,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,199X The Embarcadero,6,Sidewalk: Curb side : Cutout,Rec/Park,12/1/00 0:00,6,,37.79658901,-122.3955269
61826,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',999 Brannan St,1,Sidewalk: Curb side : Cutout,Private,4/5/85 0:00,18,,37.77019991,-122.4066403
54423,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',735 Montgomery St,1,Sidewalk: Curb side : Cutout,Private,6/20/72 0:00,15,,37.79628373,-122.4035603
52709,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,1@ JACKSON Cherry St,3,Sidewalk: Curb side : Cutout,Private,4/4/06 0:00,8,,37.78989686,-122.4575506
30598,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,66 Webster St,1,Sidewalk: Curb side : Cutout,Private,1/26/95 0:00,12,,37.77081114,-122.4284092
104798,Undocumented,Platanus x hispanica :: Sycamore: London Plane,342 Howard St,2,Sidewalk: Curb side : Cutout,Private,7/13/15 0:00,3,3x3,37.78965613,-122.3946914
54079,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2200 Chestnut St,1,Sidewalk: Curb side : Cutout,Private,4/27/72 0:00,23,,37.80045927,-122.4396328
32645,Permitted Site,Ficus nitida :: Laurel Fig,379 TEHAMA ST,7,Sidewalk: Curb side : Cutout,Private,5/17/99 0:00,8,,37.78129638,-122.4040259
62816,DPW Maintained,Pittosporum undulatum :: Victorian Box,1610 Golden Gate Ave,1,Sidewalk: Curb side : Cutout,Private,7/8/86 0:00,7,,37.77895637,-122.4372779
33807,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2007 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,11/26/96 0:00,7,,37.79407223,-122.4285665
91945,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,843 Irving St,1,Sidewalk: Curb side : Cutout,DPW,2/19/09 0:00,3,3x3,37.76396175,-122.4667711
4148,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3631 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,DPW,2/17/99 0:00,3,3X3,37.74793492,-122.4217293
52121,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,746 Hayes St,2,Sidewalk: Curb side : Cutout,Private,10/26/05 0:00,4,,37.77620952,-122.4288257
21708,Permitted Site,Prunus serrulata :: Ornamental Cherry,1710X Webster St,10,Sidewalk: Curb side : Cutout,Private,3/30/06 0:00,7,3x3,37.78709663,-122.4317446
24817,DPW Maintained,Prunus cerasifera :: Cherry Plum,400X Alemany Blvd,9,Sidewalk: Curb side : Cutout,Private,4/17/15 0:00,4,3x3,37.73290447,-122.4147599
7205,DPW Maintained,Pittosporum undulatum :: Victorian Box,926 Fillmore St,4,Sidewalk: Curb side : Cutout,Private,12/5/01 0:00,3,4X4,37.77809813,-122.4315687
27878,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,280 The Embarcadero,8,Sidewalk: Curb side : Cutout,Port,1/31/01 0:00,12,,37.78409141,-122.3883513
50134,DPW Maintained,Prunus cerasifera :: Cherry Plum,2000 Grove St,1,Sidewalk: Curb side : Cutout,Private,7/29/03 0:00,4,,37.77448816,-122.4497845
28045,Permitted Site,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1800 The Embarcadero,1,Sidewalk: Curb side : Cutout,Port,2/5/01 0:00,12,3X3,37.80891235,-122.4157369
95729,DPW Maintained,Prunus serrulata :: Ornamental Cherry,247 Dublin St,1,Sidewalk: Curb side : Cutout,Private,9/7/11 0:00,5,3x3,37.71621425,-122.42806
66492,DPW Maintained,Prunus serrulata :: Ornamental Cherry,52 Langton St,1,Sidewalk: Curb side : Cutout,Private,2/21/91 0:00,8,,37.77677722,-122.4090113
31675,DPW Maintained,Pittosporum undulatum :: Victorian Box,2785 Jackson St,1,Sidewalk: Curb side : Cutout,Private,6/12/95 0:00,14,,37.79160111,-122.4409428
35991,Permitted Site,Prunus serrulata :: Ornamental Cherry,62 Manchester St,1,Sidewalk: Curb side : Cutout,Private,4/27/98 0:00,8,6x4.5,37.74572918,-122.414324
109311,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,85 29th St,1,Sidewalk: Curb side : Cutout,Private,2/10/15 0:00,3,3x3,37.74380057,-122.4224101
50022,DPW Maintained,Pittosporum crassifolium :: Karo Tree,736 Dwight St,1,Sidewalk: Curb side : Cutout,Private,7/28/03 0:00,3,,37.72212843,-122.4096585
61690,DPW Maintained,Prunus cerasifera :: Cherry Plum,955 Avalon Ave,1,Sidewalk: Curb side : Cutout,Private,11/29/84 0:00,5,,37.72488325,-122.4241552
117216,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',601 04th St,4,Sidewalk: Curb side : Cutout,Private,10/6/16 0:00,3,,37.77795881,-122.395898
10178,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1086 Guerrero St,1,Sidewalk: Curb side : Cutout,DPW,11/29/01 0:00,16,2X2,37.75394838,-122.4231899
25819,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,1300X The Embarcadero,15,Sidewalk: Curb side : Cutout,Port,10/15/95 0:00,6,4X4,37.80608845,-122.4043754
59629,DPW Maintained,Pittosporum undulatum :: Victorian Box,106 08th Ave,1,Sidewalk: Curb side : Cutout,Private,3/10/81 0:00,12,,37.78626752,-122.4667262
86094,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2662 24th Ave,1,Sidewalk: Curb side : Cutout,DPW,1/16/07 0:00,3,3x3,37.73793438,-122.4806295
65969,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',960 Chestnut St,1,Sidewalk: Curb side : Cutout,Private,6/21/90 0:00,11,,37.80306572,-122.4191627
132505,DPW Maintained,Pittosporum undulatum :: Victorian Box,2610 Filbert St,1,Sidewalk: Curb side : Cutout,Private,10/3/19 0:00,3,Width 3ft,37.79721244,-122.4425795
20164,DPW Maintained,Pittosporum undulatum :: Victorian Box,1155X Steiner St,3,Sidewalk: Curb side : Cutout,DPW,12/31/90 0:00,25,4X4,37.77987948,-122.4345355
103496,DPW Maintained,Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,1850X Cabrillo St,1,Sidewalk: Curb side : Cutout,Private,11/14/19 0:00,3,3x3,37.77477859,-122.4786337
41297,Permitted Site,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,135 Valencia St,1,Sidewalk: Curb side : Cutout,Private,1/19/00 0:00,18,,37.77098521,-122.4223791
91953,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,701 Irving St,1,Sidewalk: Curb side : Cutout,DPW,6/11/14 0:00,3,3x3,37.76402752,-122.465273
21568,DPW Maintained,Pittosporum undulatum :: Victorian Box,1480 Sutter St,2,Sidewalk: Curb side : Cutout,Private,12/9/99 0:00,3,4X4,37.78726794,-122.4245626
142515,DPW Maintained,Ficus retusa nitida :: Banyan Fig,624 VALLEJO ST,5,Sidewalk: Curb side : Cutout,Private,12/17/14 0:00,21,Width 0ft,37.79877254,-122.4077422
40949,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,543 21st Ave,1,Sidewalk: Curb side : Cutout,Private,5/8/02 0:00,8,,37.77755469,-122.4803326
31235,DPW Maintained,Prunus cerasifera :: Cherry Plum,2558 16th Ave,1,Sidewalk: Curb side : Cutout,Private,4/4/95 0:00,4,,37.74019434,-122.4722006
55488,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,635 Steiner St,1,Sidewalk: Curb side : Cutout,Private,11/30/72 0:00,12,,37.77518445,-122.4328261
31033,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',105x Bennington St,6,Sidewalk: Curb side : Cutout,Private,3/13/95 0:00,14,,37.73880286,-122.4178384
28351,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3168 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,Private,2/2/01 0:00,3,3X3,37.74838318,-122.412983
59593,DPW Maintained,Ficus retusa nitida :: Banyan Fig,1528 Baker St,1,Sidewalk: Curb side : Cutout,Private,2/25/81 0:00,15,,37.78525059,-122.4431941
52523,DPW Maintained,Pittosporum undulatum :: Victorian Box,67 Otsego Ave,1,Sidewalk: Curb side : Cutout,Private,12/28/05 0:00,10,,37.72634423,-122.4392856
42247,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',565 Natoma St,1,Sidewalk: Curb side : Cutout,Private,6/23/00 0:00,6,,37.7789615,-122.4091847
3162,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3445 California St,2,Sidewalk: Curb side : Cutout,Private,8/22/90 0:00,5,3X3,37.78662056,-122.4507558
13881,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1027 Market St,1,Sidewalk: Curb side : Cutout,DPW,10/1/90 0:00,40,4X4,37.78166814,-122.4108106
27907,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,100 The Embarcadero,1,Sidewalk: Curb side : Cutout,Port,2/1/01 0:00,12,3X3,37.78161302,-122.3885402
64489,DPW Maintained,Prunus cerasifera :: Cherry Plum,1635 Grove St,1,Sidewalk: Curb side : Cutout,Private,7/20/88 0:00,3,,37.77516273,-122.4435737
91887,DPW Maintained,Pittosporum undulatum :: Victorian Box,1098 Irving St,1,Sidewalk: Curb side : Cutout,DPW,1/12/16 6:28,3,3x3,37.76395218,-122.4694937
552,DPW Maintained,Ficus microcarpa :: Chinese Banyan,2904 24th St,1,Sidewalk: Curb side : Cutout,DPW,6/8/21 11:16,3,3X3,37.75278355,-122.4103131
51037,DPW Maintained,Prunus cerasifera :: Cherry Plum,926 Grove St,1,Sidewalk: Curb side : Cutout,Private,7/8/04 0:00,3,,37.77673964,-122.4320414
50196,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2481 Vallejo St,1,Sidewalk: Curb side : Cutout,Private,8/20/03 0:00,6,,37.79479524,-122.4380378
39772,DPW Maintained,Pittosporum undulatum :: Victorian Box,1910 Green St,1,Sidewalk: Curb side : Cutout,Private,1/19/99 0:00,8,,37.79676736,-122.4310172
17688,Permitted Site,Pittosporum undulatum :: Victorian Box,1595X Turk St,2,Sidewalk: Curb side : Cutout,Private,4/23/90 0:00,6,3X3,37.78002416,-122.4352984
91860,DPW Maintained,Pittosporum undulatum :: Victorian Box,250 Irving St,2,Sidewalk: Curb side : Cutout,DPW,12/10/08 0:00,3,3x3,37.76434975,-122.4604367
73592,Permitted Site,Prunus serrulata :: Ornamental Cherry,600X Greenwich St,1,Sidewalk: Curb side : Cutout,Private,6/30/09 0:00,6,3x3,37.7913142,-122.4072631
59246,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2242 Filbert St,1,Sidewalk: Curb side : Cutout,Private,7/18/80 0:00,17,,37.7979867,-122.4364591
38658,Permitted Site,Prunus spp 'Purpurea' :: Cherry Plum,130 Beulah St,1,Sidewalk: Curb side : Cutout,Private,9/30/98 0:00,5,3x3,37.76752134,-122.4520344
64706,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2998 Jackson St,1,Sidewalk: Curb side : Cutout,Private,10/20/88 0:00,14,,37.79130576,-122.4442611
34369,Permitted Site,Prunus serrulata :: Ornamental Cherry,71 Harper St,1,Sidewalk: Curb side : Cutout,Private,7/14/97 0:00,12,12x4. 5,37.74085015,-122.4297593
68280,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,621 Bowdoin St,1,Sidewalk: Curb side : Cutout,Private,8/9/93 0:00,7,,37.72792645,-122.4112968
